Title,URL
"Bachelor of Electrical and Electronics Engineering (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-electrical-and-electronics-engineering-turkish/
"Bachelor of Electrical and Electronics Engineering (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-electrical-and-electronics-engineering-english/
"Master of International Commercial Law ( Non Thesis ) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-international-commercial-law-non-thesis-turkish/
"Master of Executive Business Administration (Thesis) (English)",https://search.studyinturkiye.com/sit-program/master-of-executive-business-administration-thesis-english/
"Bachelor of Audiology (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-audiology-turkish/
"Bachelor of Midwifery (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-midwifery-turkish/
"Bachelor of Child Development (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-child-development-turkish/
"Bachelor of Ergotherapy (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-ergotherapy-turkish/
"Bachelor of Nutrition and Dietetics (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-nutrition-and-dietetics-turkish/
"Bachelor of Speech and Language Therapy (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-speech-and-language-therapy-english/
"Bachelor of Nursing (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-nursing-english/
"Bachelor of Software Engineering (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-software-engineering-turkish-2/
"Bachelor of Electrical and Electronics Engineering (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-electrical-and-electronics-engineering-turkish-2/
"Bachelor of Interior Architecture (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-interior-architecture-turkish/
"Bachelor of Molecular Biology and Genetics (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-molecular-biology-and-genetics-english/
"Bachelor of Biomedical Engineering (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-biomedical-engineering-english/
"Bachelor of Computer Engineering (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-computer-engineering-english-2/
"Bachelor of Special Education Teaching (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-special-education-teaching-turkish/
"Bachelor of Pre-School Teaching (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-pre-school-teaching-turkish/
"Bachelor of English Language Teacher Education (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-english-language-teacher-education-english/
"Bachelor of Primary Mathematics Teaching (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-primary-mathematics-teaching-turkish/
"Bachelor of Pharmacy (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-pharmacy-english/
"Bachelor of Dentistry (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-dentistry-turkish/
"Bachelor of Dentistry (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-dentistry-english/
"Bachelor of Medicine (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-medicine-turkish/
"Bachelor of Medicine (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-medicine-english/
"Bachelor Of Elderly care (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-elderly-care-turkish/
"Master of Structure (Non-Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-structure-non-thesis-turkish/
"Master Of Enviromental Design (Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-enviromental-design-thesis-turkish/
"Master of Pre-School Education (Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-pre-school-education-thesis-turkish/
"Master Of Educational Programs and Teaching (Non-Thesis ) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-educational-programs-and-teaching-non-thesis-turkish/
"Master Of Educational Programs and Teaching (Thesis ) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-educational-programs-and-teaching-thesis-turkish/
"Master of Guidance and Psychological Counseling (Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-guidance-and-psychological-counseling-thesis-turkish/
"Bachelor of Digital Game Design (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-digital-game-design-english/
"Bachelor of Software Engineering (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-software-engineering-english-2/
"Bachelor of Economics (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-economics-english-3/
"Bachelor of Elementary Education (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-elementary-education-turkish/
"Master of Textile and Fashion Design (Non-Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-textile-and-fashion-design-non-thesis-turkish/
"Master of Textile and Fashion Design (Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-textile-and-fashion-design-thesis-turkish/
"Bachelor of Turkish Language and Literature (Turkish)",https://search.studyinturkiye.com/sit-program/bachelor-of-turkish-language-and-literature-turkish/
"Bachelor of English Translation and Interpretation (Combined EN/TR)",https://search.studyinturkiye.com/sit-program/bachelor-of-english-translation-and-interpretation-combined-en-tr/
"Associate of Tourism and Travel Services (Evening class) (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-tourism-and-travel-services-evening-class-turkish/
"Associate of Logistics (Evening class) (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-logistics-evening-class-turkish/
"Associate of Medical Imaging Technologies (Evening class) (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-medical-imaging-technologies-evening-class-turkish/
"Associate of First Aid and Emergency (Turkish) (evening class)",https://search.studyinturkiye.com/sit-program/associate-of-first-aid-and-emergency-turkish-evening-class/
"Associate of Anesthesia (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-anesthesia-turkish/
"Associate of Surgery Services (Evening class) (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-surgery-services-evening-class-turkish/
"Associate of Medical Documentation and Secretary (HALIC CAMPUS) (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-medical-documentation-and-secretary-halic-campus-turkish/
"Associate of First and Emergency Aid (HALIC CAMPUS) (Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-first-and-emergency-aid-halic-campus-turkish/
"Associate of Dental Prosthesis Technology (HALIC CAMPUS)(Turkish)",https://search.studyinturkiye.com/sit-program/associate-of-dental-prosthesis-technology-halic-campusturkish/
"Bachelor of Civil Engineering (English)",https://search.studyinturkiye.com/sit-program/bachelor-of-civil-engineering-english/
"Master of Migration Studies (Non Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-migration-studies-non-thesis-turkish/
"Master of Migration Studies (Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-migration-studies-thesis-turkish/
"Master of Accounting and Auditing (Thesis) (Turkish)",https://search.studyinturkiye.com/sit-program/master-of-accounting-and-auditing-thesis-turkish/
